P@10,AP,NDCG@10,Recall@10,query_pmid,n_relevant
0.5,0.33515280948922993,0.6300426811446146,0.23809523809523808,22569528,21
0.6,0.6058608058608059,0.7336947458836465,0.6666666666666666,23613754,9
0.4,0.19839250038582606,0.4818998405251556,0.14814814814814814,29409062,27
1.0,0.6678311030859324,1.0,0.1694915254237288,29360039,59
0.5,0.13686055431977256,0.4634464183177906,0.08771929824561403,27461729,57
0.5,0.3318497058444696,0.5294438830372382,0.16129032258064516,29165708,31
1.0,0.39538063994763345,1.0,0.18867924528301888,29353941,53
0.8,0.7071056893612063,0.8263333286520083,0.13793103448275862,25704641,58
0.6,0.5548606771638562,0.6627919420317119,0.15384615384615385,29348350,39
0.3,0.09049948487805118,0.36211082347570717,0.12,29255034,25
0.8,0.25548608082541874,0.8643145546088337,0.14285714285714285,29362237,56
1.0,0.912698962970733,1.0,0.1694915254237288,29372014,59
0.4,0.1159057273500638,0.4985723557253838,0.06896551724137931,26787849,58
0.6,0.621711682037769,0.7183627972686238,0.5,29303981,12
0.6,0.4393694311366013,0.6968404678259545,0.14634146341463414,29329231,41
0.8,0.6225856752960093,0.8512360941594274,0.25806451612903225,29342945,31
0.6,0.38466255293143176,0.7151857987862356,0.24,29409497,25
0.3,0.30879853479853475,0.40853591842579556,0.3,27716862,10
0.8,0.6846063316452872,0.8454256604216017,0.16666666666666666,29293394,48
1.0,0.7620313743955357,1.0,0.2127659574468085,29509720,47
1.0,0.7884701192721415,1.0,0.2702702702702703,27164102,37
0.7,0.4722619502426806,0.7885497208855957,0.35,29046519,20
0.9,0.8444846203335806,0.933745776545611,0.1875,21397062,48
0.4,0.2258581176989562,0.5326208815196265,0.0784313725490196,28459442,51
1.0,0.550757107185082,1.0,0.1724137931034483,29182268,58
1.0,0.6280889624696049,1.0,0.18518518518518517,29515993,54
0.7,0.29013064541510797,0.7471589728148227,0.11666666666666667,29066472,60
0.3,0.43712416116625447,0.4537425745411855,0.2,29327286,15
1.0,0.7805920587658796,1.0,0.16666666666666666,29507292,60
1.0,0.7532554943461632,1.0,0.24390243902439024,29398391,41
0.9,0.4936525657677278,0.914856882358379,0.23684210526315788,29463019,38
1.0,0.8545245867596176,1.0,0.16666666666666666,29572442,60
0.4,0.2429574431230828,0.4662774717636409,0.09090909090909091,29556797,44
0.4,0.11361710885037456,0.4658230948382866,0.13793103448275862,29555807,29
1.0,0.6697450413921443,1.0,0.2702702702702703,29463761,37
0.7,0.4891834825015181,0.6163668470816234,0.2,29662016,35
1.0,0.777742823318805,1.0,0.2564102564102564,29480151,39
0.8,0.4810086934798904,0.8482378089219645,0.13333333333333333,29593390,60
0.3,0.14556244065955326,0.3125291152215463,0.15,29593114,20
0.8,0.539541685265471,0.8482378089219645,0.20512820512820512,28575536,39
1.0,0.9265684872210466,1.0,0.17857142857142858,29503860,56
0.6,0.47997799335623964,0.6987957033953602,0.2,29355844,30
0.8,0.5768347855328746,0.8701249883466593,0.27586206896551724,29549680,29
1.0,0.49723568277910835,1.0,0.2631578947368421,29419759,38
1.0,0.705531226102758,1.0,0.3333333333333333,29653542,30
0.6,0.5171305189836661,0.6785038377365556,0.14285714285714285,29413083,42
0.2,0.166872683838121,0.13305201013572898,0.125,29665836,16
0.6,0.45146996028673847,0.7019727018777485,0.13043478260869565,29558884,46
1.0,0.4706032267591545,1.0,0.1694915254237288,29691445,59
0.3,0.13615196394727716,0.23690530871965634,0.25,29690519,12
0.9,0.819282287690383,0.8899541168509599,0.28125,29670409,32
1.0,0.7176082427006978,1.0,0.2777777777777778,29614051,36
0.9,0.4766141284911861,0.9216017310213247,0.16071428571428573,29686383,56
0.7,0.31435799213684107,0.7381919257729245,0.16666666666666666,29481401,42
